person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Ecaterina Pop,ecaterinapop,ecaterinapop@141.ro,3980720324668,1925-04-02,"Drumul Tania Ardelean Nr. 23 Bl. 66  Sc. 13 Ap. 923, Pancota, 967623",0750 760 545,48:aa:27:2d:c2:14,128.24.79.152,RO19ATPI1882281052191021,2025-06-22 22:40:03,10045,347,669,1461646,f6562563-d309-4db6-8701-bb3ad02b823c
Melania Tudor,melaniatudor,melaniatudor@email.ro,5421129390799,1913-09-30,"Soseaua Pop Nr. 71 Bl. 44  Sc. 81 Ap. 182, Valea Mare (Negresti), 998178",0256 387 997,24:59:60:84:1c:86,207.144.11.230,RO79WGEK1180031280603835,2025-06-22 22:40:03,32034,706,122,190202,a14b2911-cd89-4599-a601-0d4afa46e24a
Timea Eftimie,timeaeftimie,timeaeftimie@post.ro,3200919446931,1951-08-28,"Soseaua Nistor, Ovidiu, 883746",0763 605 419,a0:0e:c7:3e:f0:73,48.135.28.228,RO21LEGB3629678375744041,2025-06-22 22:40:03,14609,448,745,1142696,7bef669d-df15-497c-bbb1-90f9cc0d0408
Pleșu Mazilescu,pleșumazilescu,pleșumazilescu@zzup.ro,2061127217410,1926-09-15,"Soseaua Eftimie Nr. 62 Bl. 74  Sc. 80 Ap. 887, Onesti, 458503",0237 397 093,e6:25:54:a8:4a:f9,30.88.37.187,RO16AWPA6483960363828427,2025-06-22 22:40:03,34981,212,493,710546,5aaa5857-1c4e-41e3-81e0-9a54812dde20
Camil Mazilescu,camilmazilescu,camilmazilescu@zzup.ro,5031206118339,1963-01-06,"Drumul Marin, Ludus, 725627",0244 354 549,e6:94:b4:17:20:14,57.144.176.191,RO94RESD9300603905476145,2025-06-22 22:40:03,18202,808,699,927368,aba02939-de98-4032-a1f9-38c12d6f4918
Doru Dobre,dorudobre,dorudobre@acasa.ro,1650606383525,1982-06-18,"Aleea Nichifor Popescu Nr. 279 Bl. 74  Sc. 31 Ap. 155, Bailesti, 932232",0725 748 412,a8:60:11:4e:b2:82,218.235.124.5,RO90VJDY6846862797007976,2025-06-22 22:40:03,15446,258,718,720660,02ad7d3d-cd6d-49a6-ac7e-b1f6916c399e
Delia Preda,deliapreda,deliapreda@zzup.ro,6550320346001,1947-11-03,"Soseaua Tabacu Nr. 52, Gilau, 701021",0729 250 085,d8:62:e6:af:83:30,139.237.54.95,RO45CIGK0340220621839249,2025-06-22 22:40:03,33100,478,336,1768605,8c6df2ca-c1ec-4455-835d-73fea9d30b22
Antoniu Nemeș,antoniunemeș,antoniunemeș@acasa.ro,2880601155873,1967-11-10,"Drumul Dumitrescu, Tandarei, 652499",0767 391 417,2a:22:85:35:09:5e,152.26.24.17,RO10YOXB3779686672102849,2025-06-22 22:40:03,12650,343,649,1756666,9697ed7c-2a66-44a2-9f73-bff8ff08d964
Pamfil Mazilescu,pamfilmazilescu,pamfilmazilescu@gmail.com,1730531388435,1916-11-04,"Aleea Tomescu Nr. 866, Vaslui, 389089",0722 608 056,b4:af:0b:59:47:ed,198.66.104.16,RO62LDIY2851568713624451,2025-06-22 22:40:03,10911,279,375,1374604,9173bb7b-c4b6-4e20-a1b0-ad54e70994b5
Nae Albu,naealbu,naealbu@email.ro,4520804419518,2003-08-24,"Aleea Stănescu Nr. 249, Sovata, 196582",0720 037 678,38:c1:d7:74:fe:b9,1.166.190.242,RO73ZQZP5729678263583606,2025-06-22 22:40:03,30987,113,797,1979585,5d223503-f196-4b45-b458-1ab9ef5b6f15
Dorina Diaconescu,dorinadiaconescu,dorinadiaconescu@acasa.ro,2550205306221,1959-01-30,"Intrarea Dinu Nr. 91, Victoria, 724342",0723 086 002,40:f3:f2:3f:20:62,136.235.62.134,RO11VQQF8122935474604933,2025-06-22 22:40:03,23592,349,642,333004,9142334b-3dba-498c-ac67-7d43990ab9c4
Anișoara Mocanu,anișoaramocanu,anișoaramocanu@kappa.ro,3051218048921,1925-08-03,"Aleea Popa, Gilau, 866137",0759 012 399,10:16:e9:7e:df:8f,11.32.4.9,RO59FUFE5515404392328842,2025-06-22 22:40:03,17697,423,115,1685118,ec59d492-68d9-485d-8285-95d661d58fc5
Ioana Stoica,ioanastoica,ioanastoica@141.ro,4871130439169,2023-04-19,"Soseaua Tudor Nr. 892 Bl. 61  Sc. 45 Ap. 775, Schela Cladovei, 665584",0788 900 435,1e:bb:ea:c8:e1:06,119.56.122.253,RO81LXDB9876567630849106,2025-06-22 22:40:03,7934,141,219,508999,eb969ff9-4c52-405e-83b4-c3790cba3cce
Clara Gheorghiu,claragheorghiu,claragheorghiu@acasa.ro,5051106199931,1926-04-29,"Strada Tomescu Nr. 916 Bl. 30  Sc. 31 Ap. 487, Marasesti, 303753",0732 536 408,f8:23:0a:7a:d0:21,110.119.55.200,RO83BKQC4090992644585269,2025-06-22 22:40:03,23115,434,422,1102438,ff7fefdf-781b-4274-9155-71fb8b09e73e
Letiția Ababei,letițiaababei,letițiaababei@kappa.ro,7860528226420,1965-03-04,"Bulevardul Virginia Dobre Nr. 48 Bl. 85  Sc. 59 Ap. 106, Satu Mare, 581689",0232 713 365,9a:39:11:13:0d:71,44.167.187.20,RO96FXDK4995110437079983,2025-06-22 22:40:03,7278,988,763,365403,2f93dd90-60be-4ea3-a72c-424b50e32039
Jean Mazilescu,jeanmazilescu,jeanmazilescu@email.ro,7370810259091,1942-05-24,"Soseaua Zamfir Ene Nr. 22, Carei, 186765",0263 715 429,32:7d:91:08:d3:c5,133.213.53.133,RO76XEKM7554224645399670,2025-06-22 22:40:03,17575,700,399,401111,8edee921-a787-411b-8c29-07cdd475a74f
Magdalena Florea,magdalenaflorea,magdalenaflorea@zzup.ro,4981109346310,1927-09-06,"Soseaua Popa Nr. 130, Borcea, 489613",0735 193 807,ac:f4:5b:8d:86:9f,57.89.123.247,RO80IHZJ7299186422167923,2025-06-22 22:40:03,19706,640,76,848153,8be6703b-b209-4e3e-a0e0-f29628d65b27
Suzana Barbu,suzanabarbu,suzanabarbu@zzup.ro,2470404297245,1943-02-05,"Drumul Felicia Nemeș, Filiasi, 657306",0269 913 743,b0:39:97:1f:52:23,215.186.170.153,RO60ARIR4857638802808636,2025-06-22 22:40:03,26977,575,444,314890,99fdf641-b81b-49f4-9312-06b32006c3df
Renata Stoica,renatastoica,renatastoica@zzup.ro,4340213083290,1981-04-13,"Soseaua Teodora Stan Nr. 913, Rovinari, 190454",0772 446 729,16:63:5c:90:e9:63,118.120.181.1,RO29SJTS6274691414595470,2025-06-22 22:40:03,5463,362,605,969488,fc354bd8-6d6d-43e9-9902-15f8f899e7ab
Ionuț Oprea,ionuțoprea,ionuțoprea@email.ro,6400610129018,1974-01-25,"Strada Diaconu Nr. 62, Otelu Rosu, 549766",0731 650 662,48:c8:53:b4:36:e8,158.206.119.188,RO55ADBH7835130506013011,2025-06-22 22:40:03,18698,724,535,583003,0466bbc2-3d30-4158-b665-c8a84a9a02ed
Francisc Albu,franciscalbu,franciscalbu@gmail.com,2510402237120,2006-05-04,"Aleea Ioniță, Floresti, 892732",0246 797 323,86:31:ed:c9:7b:aa,104.4.48.232,RO93VKUJ2230901858469445,2025-06-22 22:40:03,2604,918,493,1278428,901bce6c-1a9b-4a9f-a147-441d2c7af24f
George Mazilescu,georgemazilescu,georgemazilescu@141.ro,1440112080281,1909-08-19,"Intrarea Dochioiu Nr. 99, Boldesti-Scaeni, 938805",0246 834 196,32:f6:ee:fe:8c:bc,14.215.72.226,RO90IUXG0421245357870483,2025-06-22 22:40:03,23511,409,638,1203103,f9efb1c1-ab21-4b08-9fb2-534ac2734317
Tiberia Stan,tiberiastan,tiberiastan@post.ro,4220518052299,1980-11-28,"Intrarea Dima Nr. 65, Ramnicu Valcea, 885424",0752 796 334,ce:79:e2:6d:60:f1,176.59.163.123,RO89PVTN3689895817977805,2025-06-22 22:40:03,966,801,37,1052106,0e3c0fae-1f52-4593-a60b-2f2c5fb21a5a
Carla Pop,carlapop,carlapop@post.ro,5910424342278,1952-06-10,"Soseaua Preda, Techirghiol, 879374",0744 734 708,7a:6d:e3:99:83:d3,205.165.35.9,RO08KKIJ5675825506399359,2025-06-22 22:40:03,25083,842,461,542653,433e64d3-1610-45ce-84cd-80dd9161dbfa
Adrian Dochioiu,adriandochioiu,adriandochioiu@kappa.ro,2241120017902,1934-02-27,"Intrarea Tomescu Nr. 90 Bl. 12  Sc. 50 Ap. 369, Tomesti, 363965",0731 135 255,d8:31:87:f5:7f:bb,174.195.161.18,RO15GHMA0569577192548289,2025-06-22 22:40:03,17539,561,4,250592,61784895-77db-41d5-a9cb-f69d7a59e1f6
Octaviu Dima,octaviudima,octaviudima@141.ro,7940125291665,1940-05-01,"Aleea Nistor Nr. 15, Jibou, 247747",0255 900 782,ce:15:8a:6c:9d:70,46.46.194.125,RO71NMGZ7621103103520880,2025-06-22 22:40:03,33962,320,694,628496,31bbe27d-0b2c-4085-8f18-4eef2445f761
Cecilia Stancu,ceciliastancu,ceciliastancu@141.ro,2501225359988,1917-08-15,"Drumul Aurelia Tudor Nr. 29, Bumbesti-Jiu, 963789",0768 004 002,38:15:90:99:ef:2a,35.164.250.33,RO70WSVU2607258296551073,2025-06-22 22:40:03,27334,577,62,1080969,3a601dc1-54e1-4d51-b928-f05ab9f3dfa9
Corvin Diaconescu,corvindiaconescu,corvindiaconescu@zzup.ro,5910708179565,1948-02-25,"Aleea Oprea Nr. 723 Bl. 33  Sc. 14 Ap. 268, Targu Frumos, 376982",0246 587 512,2e:dc:e3:4f:05:8a,145.76.236.91,RO44GZQF9702345817087328,2025-06-22 22:40:03,11868,799,24,920532,d27ab670-f776-472f-ae69-2179c55d3af3
Cedrin Nemeș,cedrinnemeș,cedrinnemeș@zzup.ro,1880606019895,1947-12-18,"Soseaua Pușcașu Nr. 19 Bl. 47  Sc. 77 Ap. 607, Campulung Moldovenesc, 706390",0730 666 795,ba:43:3e:57:38:57,184.108.225.169,RO77SSDG2865410502106094,2025-06-22 22:40:03,8892,23,317,1078269,f01136d8-5046-4937-8408-03bad2909c8c
Robertina Stoica,robertinastoica,robertinastoica@acasa.ro,7820109168281,1911-12-20,"Strada Dochioiu Nr. 26 Bl. 90  Sc. 42 Ap. 461, Videle, 876374",0725 074 318,b2:8e:a2:95:d6:4f,46.113.154.200,RO23ELHN2073508174063118,2025-06-22 22:40:03,2037,615,297,211351,fd5a4de9-4ba1-43af-a9ed-498ee62276dd
Julia Dumitrescu,juliadumitrescu,juliadumitrescu@zzup.ro,7390826175947,2013-05-25,"Bulevardul Popescu Nr. 710, Bragadiru, 850150",0739 130 295,92:97:d5:7f:7b:4d,60.192.68.23,RO22NNTN0110116029577700,2025-06-22 22:40:03,26394,617,595,649256,ca278ed9-2428-4a39-a455-adde32e5f6dd
Ivan Dima,ivandima,ivandima@gmail.com,3350605391045,1975-03-19,"Drumul Preda, Baciu, 479833",0234 212 931,78:42:f3:7d:98:fd,150.59.54.9,RO60AMZR7712834554472904,2025-06-22 22:40:03,24196,347,768,1829244,43650fa0-5283-4315-aac7-70c4471f8f45
Cosmina Diaconescu,cosminadiaconescu,cosminadiaconescu@141.ro,8990914290261,1909-10-15,"Drumul Elodia Voinea, Oravita, 821118",0727 539 978,5a:b9:b6:54:f6:34,89.200.184.17,RO56JTMA9709832604635219,2025-06-22 22:40:03,7130,351,417,1793985,2a3ce58d-8049-4a56-96db-aedfb1d51de5
Violeta Dinu,violetadinu,violetadinu@gmail.com,3161109449805,1993-12-23,"Strada Nistor, Drobeta-Turnu Severin, 718339",0741 417 221,50:65:0a:29:1d:92,52.48.58.150,RO03CIKZ4793615889835187,2025-06-22 22:40:03,7697,626,28,1465514,60c2223d-b220-4ce1-afd3-9bdae2080eea
Flaviu Marin,flaviumarin,flaviumarin@kappa.ro,1180724108641,2003-04-18,"Intrarea Mărioara Albu Nr. 14, Poiana Mare, 991368",0265 203 917,f4:23:7a:82:9d:38,147.20.236.200,RO37DQYP6691631298511741,2025-06-22 22:40:03,3529,5,551,1516737,b3d514f1-25ce-4f50-8e9f-89046ec54949
